Primary Street,1st Cross Street,2nd Cross Street,2011,2012,2013,2014,2015
KEMPER ST/LELAND ST,MIDWAY DR,POINSETTIA DR,11300,9600,10700,10700,7100
KENAMAR DR,TRADE ST,CARROLL RD,4600,4600,3900,3900,3900
KENWOOD/60TH/IONA DR,MARKET ST,BROADWAY,900,900,900,900,900
KETTNER BLVD/HANCOCK ST,WASHINGTON ST,INTERSTATE 5 OFF-RAMP,20300,20300,20300,20300,20300
KETTNER BLVD,INTERSTATE 5 OFF-RAMP,INTERSTATE 5 ON-RAMP,19400,19400,18200,25300,25300
KETTNER BLVD,INTERSTATE 5 ON-RAMP,LAUREL ST,19000,16600,16600,16600,15500
KETTNER BLVD,LAUREL ST,HAWTHORN ST,7000,7000,6600,6400,6400
KETTNER BLVD,HAWTHORN ST,GRAPE ST,8400,8400,8200,8200,8200
KETTNER BLVD,GRAPE ST,ASH ST,5800,5800,5800,5000,5000
KETTNER BLVD,ASH ST,A ST,4300,4300,4300,6500,6500
KETTNER BLVD,A ST,C ST,5600,5600,5600,5400,5400
KETTNER BLVD,C ST,BROADWAY,5100,5100,5100,5500,5500
KETTNER BLVD,BROADWAY,F ST,5000,5000,5000,5000,5000
KETTNER BLVD,F ST,G ST,4600,4600,3000,3000,3000
KETTNER BLVD,G ST,MARKET ST,3900,7900,7900,4500,4500
KETTNER BLVD,MARKET ST,SEAPORT VILLAGE,2700,2700,2700,2700,2700
KIOWA DR,MISSION TRAILS PARK,LAKE MURRAY BLVD,5000,5000,5000,5000,5000
KNOXVILLE ST,ILLION ST,MORENA BLVD,7300,7000,7000,7000,7000
KURTZ ST,HANCOCK ST,CAMINO DEL RIO W,5300,5300,3800,3800,3800
KURTZ ST,CAMINO DEL RIO W,ROSECRANS ST,3900,3900,3900,3600,3600
KURTZ ST,ROSECRANS ST,PACIFIC HWY,6700,11800,11800,7600,9100
LA CUENTA DR,CLAIREMONT MESA BLVD,TIERRASANTA BLVD,4800,4800,4800,5000,5400
LA CUENTA DR,TIERRASANTA BLVD,LA CUENTA COURT,4500,4500,4500,3300,3300
LA JOLLA BLVD,PROSPECT ST,PEARL ST,4500,4300,4300,4300,4300
LA JOLLA BLVD,PEARL ST,NAUTILUS ST,18600,18600,17500,17500,16400
LA JOLLA BLVD,NAUTILUS ST,TURQUOISE ST,16100,19200,14200,14200,14700
LA JOLLA BLVD,TURQUOISE ST,LORING ST,12100,12100,10200,10200,10200
LA JOLLA COLONY DR,INTERSTATE 5,PALMILLA DR,7800,7800,7800,7400,7400
LA JOLLA MESA DR,TURQUOISE ST,LINDA ROSA DR,8500,8700,8700,8700,8700
LA JOLLA MESA DR,LINDA ROSA DR,LA JOLLA SCENIC DR (S),5100,6200,6200,6200,3600
L J MESA/E C TEATRO/MUIR,LA JOLLA SCENIC DR (S),NAUTILUS ST,2200,2200,2200,2200,2200
LA JOLLA PKWY,TORREY PINES RD,LA JOLLA SCENIC DR (N),50200,47800,47800,47800,47600
LA JOLLA PKWY,LA JOLLA SCENIC DR (N),INTERSTATE 5,48300,48300,48300,46200,46200
LA JOLLA SCENIC DR (N),LA JOLLA PWKY,LA JOLLA VILLAGE DR,6800,6800,7200,7200,5200
LA JOLLA SCENIC DR (S),LA JOLLA MESA DR,LA JOLLA RANCHO RD,3400,3400,3400,3600,3600
LA JOLLA SCENIC DR (S),LA JOLLA RANCHO RD,NAUTILUS ST,6600,6600,6600,6600,6600
LA JOLLA SCENIC DR (S),NAUTILUS ST,SOLEDAD MOUNTAIN RD,14300,14900,14900,14900,15900
LA JOLLA SCENIC DR (S),SOLEDAD MOUNTAIN RD,VIA CAPRI,12400,12400,12700,12700,12700
LA JOLLA SHORES DR,NORTH TORREY PINES RD,TORREY PINES RD,12100,12100,12100,17800,18200
LA JOLLA VILLAGE DR,TORREY PINES RD,LA JOLLA SCENIC DR (N),44600,39000,39000,39000,42500
LA JOLLA VILLAGE DR,LA JOLLA SCENIC DR (N),GILMAN DR,47300,40800,40800,40800,41700
LA JOLLA VILLAGE DR,GILMAN DR,VILLA LA JOLLA DR,36100,36100,33200,33200,44000
LA JOLLA VILLAGE DR,VILLA LA JOLLA DR,INTERSTATE 5,56800,56800,56800,60300,49400
LA JOLLA VILLAGE DR,INTERSTATE 5,GENESEE AVE,43600,43600,43600,43100,43100
LA JOLLA VILLAGE DR,GENESEE AVE,TOWNE CENTRE DR,40200,38100,38100,38100,44900
LA JOLLA VILLAGE DR,TOWNE CENTRE DR,INTERSTATE 805,63100,63100,63100,61800,61800
LA MEDIA RD,LONESTAR RD,OTAY MESA RD,5800,5800,5800,4400,4400
LA MEDIA RD,OTAY MESA RD,AIRWAY RD,10300,10300,10000,10000,10000
LA MEDIA RD,AIRWAY RD,SIEMPRE VIVA RD,10900,10900,10900,10900,10900
LAKE ARROWHEAD DR,DALLAS ST,LAKE MURRAY BLVD,4200,4200,4100,4100,4100
LAKE MURRAY BLVD,HIGHWOOD DR,NAVAJO RD,4500,4500,4500,5200,5200
LAKE MURRAY BLVD,NAVAJO RD,SAN CARLOS DR,14200,14200,14200,14200,14200
LAKE MURRAY BLVD,SAN CARLOS DR,JACKSON DR,11800,11800,11800,12300,12300
LAKE MURRAY BLVD,JACKSON DR,DALLAS ST,9300,9300,9300,9700,9700
LAKE SHORE DR,JACKSON DR,EL PASO ST,9300,9300,9300,9300,9300
LAMONT ST,LORING ST,BERYL ST,5600,5200,5200,5200,4500
LAMONT ST,BERYL ST,GARNET AVE,11400,8800,8800,8800,9500
LAMONT ST,GARNET AVE,GRAND AVE,11100,10900,9900,9900,9800
LAMONT ST,GRAND AVE,CROWN POINT DR,6600,6600,6100,6100,6100
LANDIS ST,BOUNDARY ST,NILE ST,3800,3800,3700,3700,3700
LANDIS ST,NILE ST,SWIFT ST,5200,5200,5200,5200,5200
LANDIS ST,40TH ST,FAIRMOUNT AVE,3100,3100,3100,3500,3500
LANDIS ST,FAIRMOUNT AVE,EUCLID AVE,3500,3500,3500,3500,3500
LANSDALE DR,DEL MAR HEIGHTS RD(W),DEL MAR HEIGHTS RD(E),5100,5100,5100,5600,5500
LAS FLORES TERRACE,CHURCHWARD ST,TRINIDAD WY,2400,2400,2400,2100,2100
LAUREL ST,HARBOR DR (N),PACIFIC HWY,34800,31500,31500,33900,33900
LAUREL ST,PACIFIC HWY,KETTNER BLVD,26300,26300,27600,28400,28000
LAUREL ST,KETTNER BLVD,INDIA ST/I-5,10400,18600,18600,16700,17500
LAUREL ST,INDIA ST/I-5,STATE ST,14600,14600,14600,12000,12000
LAUREL ST,STATE ST,1ST AVE,9900,9900,9800,9800,9800
LAUREL ST,1ST AVE,4TH AVE,12500,12500,12500,10100,10100
LAUREL ST,4TH AVE,5TH AVE,10300,10300,9700,8700,8700
LAUREL ST,5TH AVE,6TH AVE,8800,7300,7700,8100,7500
LEBON DR,LA JOLLA VILLAGE DR,NOBEL DR,12000,12000,12000,12500,12500
LEBON DR,NOBEL DR,PALMILLA DR,10600,10600,10600,10600,11700
LEON AVE,SATURN BLVD,HOLLISTER ST,6300,6300,6300,6000,6000
LEWIS ST,FORT STOCKTON DR,GOLDFINCH ST,3700,3000,3000,3000,1600
LIBRA DR,WESTONHILL DR,PEGASUS AVE,2000,2000,2000,2200,2200
LIMERICK AVE,NORTH END,CLAIREMONT MESA BLVD,4000,7800,7800,7800,7800
LIMERICK AVE,CLAIREMONT MESA BLVD,DOLIVA DR,5200,7000,7000,5600,9400
LINCOLN AVE,JOHNSON AVE,WASHINGTON ST,5100,5100,5100,4800,4800
LINCOLN AVE,WASHINGTON ST,CLEVELAND AVE,8200,8200,8200,8200,8100
LINCOLN AVE,CLEVELAND AVE,PARK BLVD,7300,6400,6400,6400,7200
LINCOLN AVE,FLORIDA ST,UTAH ST,1700,5200,5200,5200,1100
LINCOLN AVE,UTAH ST,30TH ST,4600,4000,4000,4000,4500
LINCOLN AVE,30TH ST,32ND ST,6000,6000,6000,6000,6000
LINCOLN AVE,32ND ST,INTERSTATE 805/33RD ST,4300,4300,4300,4500,4500
LINCOLN AVE,INTERSTATE 805/33RD ST,UNIVERSITY AVE,5300,5300,5300,5300,5300
LINDA VISTA RD,AERO DR,BALTIC ST,17200,17200,17200,17200,17200
LINDA VISTA RD,BALTIC ST,MESA COLLEGE DR,17000,17000,17000,17000,21600
PACIFIC HWY NB,PACIFIC HWY VIADUCT (I-5),SASSAFRAS ST,10100,10100,9000,9000,9000
LINDA VISTA RD,MESA COLLEGE DR,GENESEE AVE,16400,16400,16400,15900,13800
LINDA VISTA RD,GENESEE AVE,ULRIC ST,28300,28300,28300,22500,22500
LINDA VISTA RD,ULRIC ST,COMSTOCK ST,13900,13900,15000,15400,15400
LINDA VISTA RD,COMSTOCK ST,VIA LAS CUMBRES,15200,14100,14100,14100,14100
LINDA VISTA RD,VIA LAS CUMBRES,COLUSA ST,17800,17800,17800,16200,16200
LINDA VISTA RD,COLUSA ST,NAPA ST,21600,21600,21600,21600,21600
LINDA VISTA RD,NAPA ST,MORENA BLVD,20900,20700,20700,20700,20700
LISBON ST,69TH ST/CHESTER ST,JAMACHA RD,9700,9700,9400,9400,9400
LOGAN AVE/16TH ST,IMPERIAL AVE,CESAR CHAVEZ PKWY,3400,3300,3300,3300,3500
LOGAN AVE,CESAR CHAVEZ PKWY,DEWEY ST,9000,9000,9000,3800,3800
LOGAN AVE,DEWEY ST,SAMPSON ST,3300,3300,3300,3300,3300
LOGAN AVE/26TH ST,SAMPSON ST,MAIN ST,2000,2000,2000,2000,2000
LOGAN AVE,43RD ST,INTERSTATE 805,7300,7300,7300,7300,7300
LOGAN AVE,INTERSTATE 805,47TH ST,9500,9500,9500,8300,8300
LOGAN AVE,47TH ST,EUCLID AVE,9300,8800,8800,8800,10800
LOMALAND DR,TARENTO DR,CATALINA BLVD/RT 209,3600,3600,3700,3700,3700
LOMICA DR,BERNARDO CENTER DR,BERNARDO OAKS DR,3700,3700,2900,5800,5800
LORING ST,MISSION BLVD,CASS ST,4100,4100,4100,4700,4700
LORING ST,CASS ST,FANUEL ST,5600,5600,5700,5700,5700
LORING ST,FANUEL ST,FOOTHILL BLVD,5000,5000,4900,5400,4500
LOTUS DR/HYACINTH DR,POINSETTIA DR,CHATSWORTH BLVD,2000,2000,2000,2000,2300
LOWELL ST,PLUM ST,NIMITZ BLVD,4100,4100,4100,4900,4900
LUNA AVE,CLAIREMONT MESA BLVD,JUTLAND DR,13800,13800,13800,13500,13500
LUNA AVE,JUTLAND DR,MONONGAHELA ST,5600,5600,5600,4400,5500
LUSK BLVD,VISTA SORRENTO PKWY,BARNES CANYON RD,10400,10800,14200,14200,10800
LUSK BLVD,BARNES CANYON RD,MIRA MESA BLVD,9800,9800,9800,11000,11200
LYTTON ST,ROSECRANS ST,BARNETT AVE,22100,22100,22200,21100,21100
MACAULAY ST,CHATSWORTH BLVD,PLUM ST,3900,3900,3900,3400,3400
MADISON AVE,CLEVELAND AVE,PARK BLVD,3800,3800,3800,3800,3900
MADISON AVE,PARK BLVD,TEXAS ST,7100,5900,5900,5900,7600
MADISON AVE,TEXAS ST,OHIO ST,5300,4800,4800,4800,5300
MADRA AVE,RIDGE MANOR AVE,DEL CERRO BLVD,6200,6200,5900,5900,5900
MAIN ST (SO.BAY),FRONTAGE RD,INTERSTATE 5,17300,17300,17300,17300,17300
MAIN ST (SO.BAY),ALAMITOS AVE,INDUSTRIAL BLVD/HOLLISTER,22700,23400,23100,23100,23100
MAIN ST,SIGSBEE ST,CESAR CHAVEZ PKWY,2900,2900,2900,2900,2900
MAIN ST,CESAR CHAVEZ PKWY,CORONADO BRIDGE,3000,3000,3000,3000,3000
MAIN ST,CORONADO BRIDGE,SAMPSON ST,3000,3000,3000,3000,3000
MAIN ST,SAMPSON ST,28TH ST,7200,14500,14500,14500,14500
MAIN ST,28TH ST,32ND AVE,13300,13300,13300,12000,13700
MAIN ST,32ND AVE,WABASH BLVD,18500,18500,17200,17200,17200
MAIN ST,WABASH BLVD,VESTA ST,16300,19200,19200,19200,20500
MAIN ST,VESTA ST,INTERSTATE 5,15200,15200,15200,17200,17200
MALLARD ST,FEDERAL BLVD,69TH ST,7600,7600,7600,7600,7600
MANGO DR,LOZANA RD,DEL MAR HEIGHTS RD,7900,7900,7700,7700,7700
MANGO DR,DEL MAR HEIGHTS RD,PORTOFINO DR,2000,2000,3100,3100,3100
MARGERUM AVE,NAVAJO RD,MISSION GORGE RD,2400,2400,2400,2700,2700
MARKET ST,HARBOR DR,STATE ST,6300,6300,6300,6300,6300
MARKET ST,STATE ST,FRONT ST,10800,10800,10800,9600,9600
MARKET ST,FRONT ST,1ST AVE,11700,11700,11700,15200,15200
MARKET ST,1ST AVE,2ND AVE,20200,20200,20200,18800,18800
MARKET ST,2ND AVE,4TH AVE,15700,15700,15700,14300,14300
MARKET ST,4TH AVE,5TH AVE,13700,13700,13700,13800,13800
MARKET ST,5TH AVE,8TH AVE,14800,15100,15100,15900,15900
MARKET ST,8TH AVE,10TH AVE,16700,16700,14800,14800,14800
MARKET ST,10TH AVE,11TH AVE,12900,12900,12900,12100,12100
MARKET ST,11TH AVE,PARK BLVD,13400,13400,13400,12500,11900
MARKET ST,PARK BLVD,16TH ST,11600,11600,11600,11300,10700
MARKET ST,16TH ST,INTERSTATE 5,9900,8600,8600,9900,9900
MARKET ST,INTERSTATE 5,25TH ST,8200,8200,7700,7700,7700
MARKET ST,25TH ST,28TH ST,7800,9400,9400,9400,9400
MARKET ST,28TH ST,30TH ST,8200,9500,9500,9500,9500
MARKET ST,30TH ST,32ND ST,11900,11900,11900,10900,13100
MARKET ST,32ND ST,ROUTE 15,19800,19800,19800,17800,17700
MARKET ST,ROUTE 15,36TH ST,27000,27000,27000,26000,26000
MARKET ST,36TH ST,GATEWAY CENTER DR,22300,22300,22300,22300,24500
MARKET ST,GATEWAY CENTER DR,INTERSTATE 805,15700,15700,15700,15700,15700
MARKET ST,INTERSTATE 805,47TH ST,10100,10100,14600,14800,14800
MARKET ST,47TH ST,EUCLID AVE,9800,9800,10900,10900,10900
MARKET ST,EUCLID AVE,MERLIN DR,13000,12300,12900,12900,11400
MARKET ST,MERLIN DR,IONA DR,12100,7600,7600,7600,5900
MARLBOROUGH DR,PALISADES RD,ADAMS AVE,4900,4900,4900,4900,4900
MARLBOROUGH DR/AVE,ADAMS AVE,MEADE AVE,2100,2100,2100,2100,2100
MARLBOROUGH AVE,MEADE AVE,EL CAJON BLVD,2500,2500,2500,2700,2700
MARLBOROUGH AVE,EL CAJON BLVD,UNIVERSITY AVE,3600,3600,2600,5100,5100
MARLBOROUGH AVE,UNIVERSITY AVE,LANDIS ST,4300,4300,4300,4300,4300
MARLESTA DR,AUBURNDALE ST,GENESEE AVE,4800,8800,8800,8800,8800
MAST BLVD,ROUTE 52,WEST HILLS PKWY,27900,27900,27000,27000,27000
MATINAL RD,RANCHO BERNARDO RD,POBLADO RD,3200,3200,3200,2700,2700
MATINAL RD,POBLADO RD,WEST BERNARDO DR,3400,3400,3400,3400,3300
MATURIN DR,WINDROSE WAY,TURTLEBACK RD,4500,4500,4200,4200,4200
MEADE AVE,CLEVELAND AVE,PARK BLVD,3300,3300,3300,2800,2300
MEADE AVE,PARK BLVD,TEXAS ST,4100,4100,3500,3500,3500
MEADE AVE,TEXAS ST,30TH ST,7200,7200,7200,6400,6400
MEADE AVE,30TH ST,INTERSTATE 805,9000,8500,8500,10100,7500
MEADE AVE,INTERSTATE 805,35TH ST,6700,6700,6700,6700,6700
MEADE AVE,35TH ST,INTERSTATE 15,6700,6700,4700,4700,4700
MEADE AVE,INTERSTATE 15,MARLBOROUGH AVE,4600,4600,4600,3800,3800
MEADE AVE,MARLBOROUGH AVE,43RD ST,3900,3900,3900,3900,3900
MEADE AVE,43RD ST,FAIRMOUNT AVE,3800,3800,3800,4200,4200
MEADE AVE/44TH ST,FAIRMOUNT AVE,MONROE AVE,3200,3200,3600,3600,3600
MEADOWBROOK DR,JAMACHA DR,SAN VICENTE ST,8700,8700,8700,5500,5500
MEADOWBROOK DR,SAN VICENTE ST,SKYLINE DR,5900,5900,5900,9800,9800
MEADOWBROOK DR,SKYLINE DR,BROOKHAVEN RD,39500,39500,39500,39500,39500
MEADOWBROOK DR,BROOKHAVEN RD,PARADISE VALLEY RD,11400,11100,11100,11100,11100
MEADOW LARK DR,BIRMINGHAM DR,STARLING DR,6700,6700,6700,8400,8400
MERCURY ST,CLAIREMONT MESA BLVD,RONSON RD,6200,5400,5400,5400,5400
MERCURY ST,RONSON RD,ENGINEER RD,9900,9900,9900,7200,7200
MERCURY ST,ENGINEER RD,BALBOA AVE,15000,15000,14400,14400,14400
MERCURY ST,BALBOA AVE,ARMOUR ST (RT 163 RAMPS),18200,18200,18200,17500,14300
MERCURY ST,ARMOUR ST (RT 163 RAMPS),OTHELLO AVE,13100,13100,13100,14100,14100
MERCY RD,BLACK MOUNTAIN RD,INTERSTATE 15,16200,16200,19000,15000,15000
MERLIN DR,MARKET ST,IMPERIAL AVE,4500,4500,4500,5200,5200
MERRIMAC AVE,CLAIREMONT DR,PARK RIM DR,4900,5000,5000,5000,5000
MESA COLLEGE DR,MESA COLLEGE,ASHFORD ST,7100,7100,4900,17300,17300
MESA COLLEGE DR,ASHFORD ST,LINDA VISTA RD,21600,24400,24400,24400,24400
MESA COLLEGE DR,LINDA VISTA RD,ROUTE 163,25700,25700,25700,20400,28300
MESA COLLEGE DR,ROUTE 163,HEALTH CENTER DR,31000,31000,31000,23500,23000
MESA COLLEGE DR,HEALTH CENTER DR,INTERSTATE 805,25600,29300,29300,29300,29300
METROPOLITAN DR,MISSION VALLEY RD,MURRAY CANYON RD,3900,3900,3800,3800,3800
MIDWAY DR,BARNETT AVE,ROSECRANS ST,23000,21400,21400,21400,20300
MIDWAY DR,ROSECRANS ST,KEMPER ST,21300,29200,29200,29800,22300
MIDWAY DR,KEMPER ST,SPORTS ARENA BLVD,20000,20000,19000,21700,21700
MILTON ST,MORENA BLVD,ILLION ST,3600,3600,3600,3600,3800
MILTON ST,ILLION ST,BURGENER BLVD,5000,5000,5000,4400,5000
MIRALANI DR,CAMINO RUIZ,ARJONS DR,7700,7700,7700,7700,7700
MIRA MESA BLVD,INTERSTATE 805,VISTA SORRENTO PKWY,50500,50500,50500,34600,34600
MIRA MESA BLVD,VISTA SORRENTO PKWY,SCRANTON RD,64000,58600,58600,58600,55000
MIRA MESA BLVD,SCRANTON RD,LUSK BLVD,42900,45600,42200,42200,39300
MIRA MESA BLVD,LUSK BLVD,PACIFIC HEIGHTS BLVD,44800,40900,40900,40900,40900
MIRA MESA BLVD,PACIFIC HEIGHTS BLVD,SEQUENCE DR/HUENNEKENS ST,50100,50100,50100,50600,50600
MIRA MESA BLVD,SEQUENCE DR/HUENNEKENS ST,FLANDERS DR,46100,42100,42100,42100,41300
MIRA MESA BLVD,FLANDERS DR,CAMINO SANTA FE,40300,40400,40400,40400,38700
MIRA MESA BLVD,CAMINO SANTA FE,PARKDALE AVE,46100,46100,46100,41700,41000
MIRA MESA BLVD,PARKDALE AVE,MONTONGO ST,48900,48900,44700,50000,46700
MIRA MESA BLVD,MONTONGO ST,REAGAN RD (W),43600,43600,43600,43600,43600
MIRA MESA BLVD,REAGAN RD (W),CAMINO RUIZ,42900,42700,42700,42700,46900
MIRA MESA BLVD,CAMINO RUIZ,REAGAN RD (E),47000,47000,41400,41400,41400
MIRA MESA BLVD,REAGAN RD (E),WESTONHILL DR,50100,50100,50100,50800,50800
MIRA MESA BLVD,WESTONHILL DR,BLACK MOUNTAIN RD,60200,60600,60600,60600,57800
MIRA MESA BLVD,BLACK MOUNTAIN DR,WESTVIEW PKWY,61800,65100,65100,65100,51000
MIRA MESA BLVD,WESTVIEW PKWY,INTERSTATE 15,72600,76600,76600,76600,76800
MIRA MESA BLVD,INTERSTATE 15,SCRIPPS RANCH BLVD,40000,37900,37900,37900,37900
MIRAMAR PL,MARINDUSTRY DR,MIRAMAR RD,5200,5200,4600,4600,4600
MIRAMAR RD,INTERSTATE 805,NOBEL DR,48100,48100,48100,45600,49400
MIRAMAR RD,NOBEL DR,EASTGATE MALL,65100,62900,62900,64400,64400
MIRAMAR RD,EASTGATE MALL,COMMERCE AVE,58900,61100,61100,61100,51000
MIRAMAR RD,COMMERCE AVE,DISTRIBUTION AVE,43100,43100,43100,40000,48700
MIRAMAR RD,DISTRIBUTION AVE,CARROLL RD,39100,39100,39600,39600,39600
MIRAMAR RD,CARROLL RD,CAMINO RUIZ,50500,46800,50400,50400,50000
MIRAMAR RD,CAMINO RUIZ,BLACK MOUNTAIN RD,61900,61900,72100,60300,60200
MIRAMAR RD,BLACK MOUNTAIN RD,INTERSTATE 15,61000,58900,58900,63000,60100
MIRAMAR WAY,MIRAMAR RD,NEPTUNE BLVD,13400,13400,13400,13400,13400
MIRAMAR WAY,MITCHNER WAY,KEARNY VILLA RD,18900,18900,18900,18900,18900
MIRAMAR WAY,KEARNY VILLA RD,INTERSTATE 15,15400,15100,15100,15000,15000
MISSION BAY DR(I-5 RAMPS),INTERSTATE 5,BLUFFSIDE AVE,45000,45000,45000,45000,45000
MISSION BAY DR,BLUFFSIDE AVE,GARNET AVE,40300,42100,41200,41400,41800
MISSION BAY DR,GARNET AVE,GRAND AVE,30000,31200,28600,28600,37400
MISSION BAY DR,GRAND AVE,NORTH MISSION BAY DR,53200,53200,53200,58300,58300
MISSION BAY DR,NORTH MISSION BAY DR,CLAIREMONT DR,5300,5300,4700,4700,4700
MISSION BLVD,TURQUOISE ST,LORING ST/LA JOLLA BLVD,6600,6600,6600,6300,6100
MISSION BLVD,LORING ST/LA JOLLA BLVD,GARNET AVE,20000,20000,20000,20400,15000
MISSION BLVD,GARNET AVE,GRAND AVE,22900,19500,15500,15500,16700
MISSION BLVD,GRAND AVE,PACIFIC BEACH DR,18300,18700,14900,11400,19100
MISSION BLVD,PACIFIC BEACH DR,WEST MISSION BAY DR,18400,21200,14900,14900,15400
MISSION BLVD,WEST MISSION BAY DR,BAYSIDE LANE,8600,18500,18500,18500,8100
MISSION CENTER RD,MURRAY RIDGE RD,INTERSTATE 805,8800,8800,8800,8800,8800
MISSION CENTER RD,INTERSTATE 805,FRIARS RD,13600,13600,12400,10300,10300
MISSION CENTER RD,FRIARS RD,MISSION CENTER CT,19000,19000,19000,19300,19300
MISSION CENTER RD,MISSION CENTER CT,HAZARD CENTER DR,18800,18800,18900,22000,22000
MISSION CENTER RD,HAZARD CENTER DR,CAMINO DE LA REINA,29700,27600,27600,27600,26900
MISSION CENTER RD,CAMINO DE LA REINA,CAMINO DEL RIO NORTH,26700,25100,25100,26400,27400
MISSION CITY PKWY,CAMINO DEL RIO N,CAMINO DEL RIO S,5100,5100,5100,5100,5100
MISSION GORGE PL,MISSION GORGE RD,ALVARADO CANYON RD,2500,2500,2500,2500,3400
MISSION GORGE RD,FAIRMOUNT AVE,TWAIN AVE,26600,26600,25300,25300,25300
MISSION GORGE RD,TWAIN AVE,FRIARS RD,19300,19300,17400,17400,17400
MISSION GORGE RD,FRIARS RD,ZION AVE,42600,42600,41100,41100,41100
MISSION GORGE RD,ZION AVE,PRINCESS VIEW DR,25500,22000,27300,27300,25900
MISSION GORGE RD,PRINCESS VIEW DR,JACKSON DR,17700,15000,20800,19300,17900
MISSION GORGE RD,JACKSON DR,GOLFCREST DR,10700,11200,10700,10700,10700
MISSION GORGE RD,GOLFCREST DR,FATHER JUNIPERO SERRA TR,11000,11000,11000,14000,11900
MISSION VALLEY RD,METROPOLITAN DR,MISSION CENTER RD,7300,7300,6200,6200,6200
MISSION VILLAGE DR,RUFFIN RD,FRIARS RD,12600,13100,13100,13100,13100
MITSCHER WAY,MIRAMAR RD,MIRAMAR WAY,14500,14500,14500,14500,14500
MOBLEY ST,GLENCOLUM DR,GRAMERCY DR,2000,2000,1700,1700,1700
MOBLEY ST,GRAMERCY DR,END,2800,2800,2600,2600,2600
MOCKING BIRD DR,END,CARDINAL RD,500,500,500,100,100
MOCKING BIRD DR,CARDINAL RD,MEADOWLARK DR,1400,1400,1500,1500,1500
MONROE AVE,PARK BLVD,MISSION AVE,100,100,1600,1600,1600
MONROE AVE,MISSION AVE,TEXAS ST,1500,1500,1500,1500,1500
MONROE AVE,TEXAS ST,30TH ST,1600,1600,1700,1700,1700
MONROE AVE,44TH ST,ALDINE DR,900,900,900,900,900
MONROE AVE,ALDINE DR,EUCLID AVE,21000,21000,21000,21000,21000
MONROE AVE,EUCLID AVE,COLLWOOD BLVD,5200,6400,6400,3700,6300
MONTEZUMA RD,FAIRMOUNT AVE,COLLWOOD BLVD,47100,44000,45100,42300,45400
MONTEZUMA RD,COLLWOOD BLVD,54TH ST,27900,27900,25800,25800,25400
MONTEZUMA RD,54TH ST,55TH ST,28600,28600,26800,26800,22400
MONTEZUMA RD,55TH ST,CAMPANILE DR,17300,17300,20000,20000,16400
MONTEZUMA RD,CAMPANILE DR,COLLEGE AVE,27600,27600,25400,26200,19200
MONTEZUMA RD,COLLEGE AVE,63RD ST,20500,20300,20100,14800,18500
MONTEZUMA RD,63RD ST,EL CAJON BLVD,11600,11600,11700,11700,11500
MONTONGO ST,ACAMA ST,MIRA MESA BLVD,4700,4700,4100,5200,5200
MONUMENT RD,HOLLISTER ST,DAIRY MART RD,2100,2100,2100,2100,2100
MONUMENT RD,SATURN BLVD,HOLLISTER ST,600,600,600,400,400
MONUMENT RD,BORDER FIELD STATE PARK,SATURN BLVD,600,600,600,300,300
MOORE ST,INTERSTATE 5 ON-RAMP,OLD TOWN AVE,8500,8500,8500,8500,8500
MORAGA AVE,CLAIREMONT MESA BLVD,BALBOA AVE,11300,5600,5600,9900,9900
MOREHOUSE DR,SCRANTON RD,LUSK BLVD,6500,6500,6500,6500,6500
MORENA BLVD,ARIANE DR,JUTLAND DR,3900,3900,3900,3700,3700
MORENA BLVD,JUTLAND DR,AVATI DR,17100,17500,17500,17500,17500
MORENA BLVD,AVATI DR,BALBOA AVE,21500,21500,21500,21200,21200
MORENA BLVD,BALBOA AVE,GESNER ST,11300,11600,11600,11100,11200
MORENA BLVD,GESNER ST,CLAIREMONT DR,10100,10100,10100,10100,10100
MORENA BLVD,CLAIREMONT DR,INGULF ST,10800,10800,10800,11500,11500
MORENA BLVD,INGULF ST,MILTON ST,13900,13900,13900,13900,13900
MORENA BLVD,MILTON ST,WEST MORENA BLVD,14400,14900,14900,14900,14900
MORENA BLVD,WEST MORENA BLVD,KNOXVILLE ST,8500,7800,7800,7800,7800
MORENA BLVD,KNOXVILLE ST,TECOLOTE RD,15800,15800,15800,15500,15500
MORENA BLVD,TECOLOTE RD,WEST MORENA BLVD,15900,15900,15900,15500,15500
MORENA BLVD,WEST MORENA BLVD,NAPA ST,28600,28600,28600,30900,30900
MORENA BLVD,NAPA ST,LINDA VISTA RD,19100,19100,19100,16300,17800
MORENA BLVD,LINDA VISTA RD,FRIARS RD,36800,36800,36800,35200,35200
MORENA BLVD,FRIARS RD,INTERSTATE 8,36800,36800,36800,35200,35200
MORENA BLVD,INTERSTATE 8,TAYLOR ST,11500,11500,11500,9200,9200
MORLEY FIELD DR,PARK BLVD,FLORIDA DR,5200,5200,4900,4900,4900
MORLEY FIELD DR/ALABAMA,FLORIDA DR,UPAS ST,8800,8800,8900,8900,8900
MORNING CREEK DR N,SABRE SPRINGS PKWY,EVENING CREEK DR,1300,1300,1300,1500,1500
MORNING CREEK DR S,EVENING CREEK DR,SABRE SPRINGS PKWY,1400,1400,1400,1300,1300
MT ABERNATHY AVE,CANNINGTON DR,CHANDLER DR,3500,3500,3500,2600,2600
MT ABERNATHY AVE,CHANDLER DR,CHATEAU DR,5400,5400,5400,4700,4700
